"MERILNO MESTO";"LETO";"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]"
"Ljubljana Bežigrad";"2000";...;...
"Ljubljana Bežigrad";"2001";43;...
"Ljubljana Bežigrad";"2002";42;36
"Ljubljana Bežigrad";"2003";46;64
"Ljubljana Bežigrad";"2004";41;71
"Ljubljana Bežigrad";"2005";37;70
"Ljubljana Bežigrad";"2006";33;47
"Ljubljana Bežigrad";"2007";32;46
"Ljubljana Bežigrad";"2008";30;36
"Ljubljana Bežigrad";"2009";29;30
"Ljubljana Bežigrad";"2010";30;43
"Ljubljana Bežigrad";"2011";32;63
"Ljubljana Bežigrad";"2012";26;27
"Ljubljana Bežigrad";"2013";24;22
"Ljubljana Bežigrad";"2014";23;19
"Ljubljana Bežigrad";"2015";28;43
"Maribor center";"2000";...;...
"Maribor center";"2001";48;...
"Maribor center";"2002";50;66
"Maribor center";"2003";58;129
"Maribor center";"2004";48;102
"Maribor center";"2005";43;101
"Maribor center";"2006";43;108
"Maribor center";"2007";40;91
"Maribor center";"2008";34;54
"Maribor center";"2009";30;35
"Maribor center";"2010";33;47
"Maribor center";"2011";34;64
"Maribor center";"2012";30;34
"Maribor center";"2013";30;36
"Maribor center";"2014";27;25
"Maribor center";"2015";28;34
"Celje";"2000";46;34
"Celje";"2001";45;41
"Celje";"2002";46;58
"Celje";"2003";53;100
"Celje";"2004";41;62
"Celje";"2005";43;97
"Celje";"2006";35;59
"Celje";"2007";32;48
"Celje";"2008";30;37
"Celje";"2009";31;42
"Celje";"2010";32;58
"Celje";"2011";35;73
"Celje";"2012";31;55
"Celje";"2013";29;51
"Celje";"2014";28;41
"Celje";"2015";32;70
"Murska Sobota - Rakièan";"2000";...;...
"Murska Sobota - Rakièan";"2001";...;...
"Murska Sobota - Rakièan";"2002";40;33
"Murska Sobota - Rakièan";"2003";43;58
"Murska Sobota - Rakièan";"2004";32;19
"Murska Sobota - Rakièan";"2005";37;65
"Murska Sobota - Rakièan";"2006";34;54
"Murska Sobota - Rakièan";"2007";30;37
"Murska Sobota - Rakièan";"2008";30;42
"Murska Sobota - Rakièan";"2009";29;30
"Murska Sobota - Rakièan";"2010";30;52
"Murska Sobota - Rakièan";"2011";33;71
"Murska Sobota - Rakièan";"2012";29;44
"Murska Sobota - Rakièan";"2013";28;38
"Murska Sobota - Rakièan";"2014";25;33
"Murska Sobota - Rakièan";"2015";29;47
"Koper";"2000";...;...
"Koper";"2001";...;...
"Koper";"2002";...;...
"Koper";"2003";...;...
"Koper";"2004";...;...
"Koper";"2005";...;...
"Koper";"2006";31;40
"Koper";"2007";29;19
"Koper";"2008";25;11
"Koper";"2009";23;2
"Koper";"2010";25;15
"Koper";"2011";27;21
"Koper";"2012";24;23
"Koper";"2013";20;10
"Koper";"2014";19;16
"Koper";"2015";23;28
"Nova Gorica";"2000";...;...
"Nova Gorica";"2001";...;...
"Nova Gorica";"2002";39;24
"Nova Gorica";"2003";37;18
"Nova Gorica";"2004";35;33
"Nova Gorica";"2005";34;37
"Nova Gorica";"2006";32;47
"Nova Gorica";"2007";33;40
"Nova Gorica";"2008";31;33
"Nova Gorica";"2009";28;24
"Nova Gorica";"2010";29;25
"Nova Gorica";"2011";27;28
"Nova Gorica";"2012";24;19
"Nova Gorica";"2013";22;12
"Nova Gorica";"2014";21;19
"Nova Gorica";"2015";24;24
"Trbovlje";"2000";61;77
"Trbovlje";"2001";50;40
"Trbovlje";"2002";47;52
"Trbovlje";"2003";52;88
"Trbovlje";"2004";40;48
"Trbovlje";"2005";55;157
"Trbovlje";"2006";40;86
"Trbovlje";"2007";37;81
"Trbovlje";"2008";38;72
"Trbovlje";"2009";33;48
"Trbovlje";"2010";34;64
"Trbovlje";"2011";35;68
"Trbovlje";"2012";32;65
"Trbovlje";"2013";30;50
"Trbovlje";"2014";27;33
"Trbovlje";"2015";29;50
"Zagorje";"2000";...;...
"Zagorje";"2001";...;...
"Zagorje";"2002";47;48
"Zagorje";"2003";51;79
"Zagorje";"2004";44;82
"Zagorje";"2005";52;143
"Zagorje";"2006";46;106
"Zagorje";"2007";41;99
"Zagorje";"2008";44;109
"Zagorje";"2009";36;56
"Zagorje";"2010";36;68
"Zagorje";"2011";37;75
"Zagorje";"2012";32;62
"Zagorje";"2013";29;48
"Zagorje";"2014";28;38
"Zagorje";"2015";32;70
"Iskrba";"2000";...;...
"Iskrba";"2001";...;...
"Iskrba";"2002";...;...
"Iskrba";"2003";...;...
"Iskrba";"2004";...;...
"Iskrba";"2005";16;5
"Iskrba";"2006";16;5
"Iskrba";"2007";15;0
"Iskrba";"2008";16;0
"Iskrba";"2009";16;5
"Iskrba";"2010";14;5
"Iskrba";"2011";17;3
"Iskrba";"2012";15;1
"Iskrba";"2013";13;0
"Iskrba";"2014";11;0
"Iskrba";"2015";13;0
