"LETO";"Poraba rastlinskih hranil na hektar kmetijskega zemljišèa v uporabi - SKUPAJ [kg/ha]";"Poraba N na hektar kmetijskega zemljišèa v uporabi [kg/ha]";"Poraba P2O5 na hektar kmetijskega zemljišèa v uporabi [kg/ha]";"Poraba K2O na hektar kmetijskega zemljišèa v uporabi [kg/ha]";"Intenzivnost poseka lesa [%]"
"1995";134.6;61.4;33.1;40.0;34.9
"1996";134.7;60.9;33.1;40.7;38.3
"1997";149.6;68.8;35.3;45.5;41.9
"1998";156.0;70.9;38.3;46.7;40.2
"1999";157.4;69.0;39.5;48.9;38.3
"2000";146.6;67.1;35.9;43.7;38.0
"2001";141.8;68.2;32.6;41.0;37.7
"2002";138.0;66.1;31.1;40.9;37.3
"2003";137.0;67.7;30.0;39.3;41.2
"2004";129.4;61.7;29.8;37.9;39.7
"2005";115.3;57.3;26.4;31.6;42.8
"2006";119.6;62.0;26.1;31.5;48.6
"2007";115.6;59.4;25.6;30.6;41.4
"2008";104.9;50.8;24.2;29.8;43.6
"2009";94.8;60.2;16.3;18.3;42.3
"2010";102.9;56.9;20.5;25.5;41.6
"2011";104.1;59.2;19.7;25.2;47.1
"2012";95.9;54.8;18.5;22.5;46.4
"2013";98.2;56.9;18.6;22.6;46.2
"2014";100.4;59.3;19.0;22.1;74.0
"2015";103.3;59.4;19.8;24.2;70.1
