"Kazalniki kakovosti zraka, Slovenija, letni podatki do 2015"

"KAZALNIK";"MERILNO MESTO";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Ljubljana Bežigrad";...;43;42;46;41;37;33;32;30;29;30;32;26;24;23;28
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Maribor center";...;48;50;58;48;43;43;40;34;30;33;34;30;30;27;28
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Celje";46;45;46;53;41;43;35;32;30;31;32;35;31;29;28;32
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Murska Sobota - Rakièan";...;...;40;43;32;37;34;30;30;29;30;33;29;28;25;29
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Koper";...;...;...;...;...;...;31;29;25;23;25;27;24;20;19;23
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Nova Gorica";...;...;39;37;35;34;32;33;31;28;29;27;24;22;21;24
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Trbovlje";61;50;47;52;40;55;40;37;38;33;34;35;32;30;27;29
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Zagorje";...;...;47;51;44;52;46;41;44;36;36;37;32;29;28;32
"Povpreèna letna koncentracija delcev PM10 [µg/m3]";"Iskrba";...;...;...;...;...;16;16;15;16;16;14;17;15;13;11;13
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Ljubljana Bežigrad";...;...;36;64;71;70;47;46;36;30;43;63;27;22;19;43
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Maribor center";...;...;66;129;102;101;108;91;54;35;47;64;34;36;25;34
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Celje";34;41;58;100;62;97;59;48;37;42;58;73;55;51;41;70
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Murska Sobota - Rakièan";...;...;33;58;19;65;54;37;42;30;52;71;44;38;33;47
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Koper";...;...;...;...;...;...;40;19;11;2;15;21;23;10;16;28
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Nova Gorica";...;...;24;18;33;37;47;40;33;24;25;28;19;12;19;24
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Trbovlje";77;40;52;88;48;157;86;81;72;48;64;68;65;50;33;50
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Zagorje";...;...;48;79;82;143;106;99;109;56;68;75;62;48;38;70
"Število dni s preseženo dnevno mejno koncentracijo delcev PM10 [število]";"Iskrba";...;...;...;...;...;5;5;0;0;5;5;3;1;0;0;0
